Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BPCL.NS,BZ=F,HINDPETRO.NS,IOC.NS,RELIANCE.NS,USDINR=X,BPCL.NS,BZ=F,HINDPETRO.NS,IOC.NS,RELIANCE.NS,USDINR=X,BPCL.NS,BZ=F,HINDPETRO.NS,IOC.NS,RELIANCE.NS,USDINR=X,BPCL.NS,BZ=F,HINDPETRO.NS,IOC.NS,RELIANCE.NS,USDINR=X,BPCL.NS,BZ=F,HINDPETRO.NS,IOC.NS,RELIANCE.NS,USDINR=X
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,271.80035400390625,,397.67437744140625,128.52914428710938,1210.7935791015625,,272.35261231098883,,399.2656476872028,128.8292776026559,1215.800389087432,,267.19824825992526,,390.29664853347634,127.2723682283326,1201.2261788160188,,269.0390905575177,,395.40800857911387,127.36616346722693,1204.4483521073844,,3545200.0,,2185656.0,4144374.0,5892590.0,
2025-01-02,273.2730407714844,75.93000030517578,398.01190185546875,129.39199829101562,1231.167724609375,85.78569793701172,274.00939456363784,76.54000091552734,401.00154843208566,129.6264720370183,1233.7949384205442,86.03399658203125,268.57888716922207,74.7300033569336,390.10373040593333,127.22544885659191,1209.554328364606,85.5739974975586,271.8003612762026,74.87999725341797,397.57790571037333,127.93825820357073,1210.7936258321927,85.78569793701172,6846413.0,41474.0,2391474.0,10625223.0,15486276.0,0.0
2025-01-03,272.81280517578125,76.51000213623047,398.34942626953125,129.56082153320312,1240.437744140625,85.80400085449219,275.34396317066097,76.73999786376953,402.255303325739,131.14586645624604,1251.244443122699,86.07230377197266,270.9259531788435,75.52999877929688,393.18985777129325,128.61355268545552,1224.921714407087,85.706298828125,272.44464235796687,75.9000015258789,398.78342241959297,129.1669073298484,1233.2498182568117,85.80400085449219,4806469.0,38822.0,4037493.0,14567050.0,15521102.0,0.0
2025-01-06,262.1819763183594,76.30000305175781,375.107177734375,124.62749481201172,1207.5714111328125,85.75900268554688,273.5951932271013,77.5,399.2656297935036,129.87969833626627,1251.1946805005002,85.84100341796875,261.4916604397376,75.94000244140625,374.19097671468455,123.84904022823176,1204.5970973122883,85.58429718017578,272.8128296135249,76.58999633789062,398.34942877381314,129.5608174642048,1243.213556672038,85.75900268554688,7361716.0,49229.0,5016149.0,19711596.0,14816766.0,0.0
2025-01-07,260.2950744628906,77.05000305175781,372.4550476074219,125.9874496459961,1230.2257080078125,85.68070220947266,267.38232813088456,77.2699966430664,383.4493125873081,127.81634221636538,1233.8444805890147,85.7938003540039,258.36221263436744,75.91999816894531,371.4423997371941,124.92762361061703,1210.7935491517349,84.9395980834961,264.2529020252984,76.23999786376953,377.95216538164044,125.19962120201292,1211.5371275851955,85.68070220947266,8306436.0,37188.0,3195402.0,13658286.0,10070505.0,0.0
2025-01-08,263.9767761230469,76.16000366210938,377.4217529296875,126.24068450927734,1254.664794921875,85.80650329589844,264.9892450117532,77.88999938964844,380.65253140469684,127.08478436361897,1260.167324257905,85.98560333251953,258.1781340798577,76.02999877929688,368.11520494100915,124.82445376793851,1234.6872949225542,85.70600128173828,260.29509150158725,77.23999786376953,372.7443598627142,125.81862027096324,1238.3060678446636,85.80650329589844,6037032.0,46650.0,3631344.0,14259056.0,19346579.0,0.0
2025-01-09,257.7179260253906,76.91999816894531,371.1048278808594,123.98973083496094,1244.0067138671875,85.90750122070312,264.9432377835503,77.2699966430664,379.01299891840245,126.42826384847055,1258.8782824728921,86.18499755859375,256.84351468362314,75.69999694824219,369.80289837629755,123.80215467495489,1237.364128300027,85.82530212402344,264.1608741760254,76.16000366210938,379.01299891840245,126.27819719600824,1256.1518282285128,85.90750122070312,6215902.0,31706.0,2525567.0,9734279.0,12794704.0,0.0
2025-01-10,255.55491638183594,79.76000213623047,374.6249694824219,122.18897247314453,1231.266845703125,85.91999816894531,260.9393855101679,80.76000213623047,378.8201282413888,124.74004828982797,1245.9896754309787,86.16079711914062,253.6680643359784,77.04000091552734,366.0416993839929,121.69188921507654,1225.4173374439545,85.84110260009766,258.1781221714359,77.20999908447266,373.75697718468473,123.98972934766046,1243.114481097643,85.91999816894531,9073218.0,92049.0,3504508.0,12948066.0,8120332.0,0.0
2025-01-13,244.18772888183594,81.01000213623047,351.430908203125,114.413818359375,1229.234375,86.18800354003906,252.83971048273585,81.66999816894531,363.14848081899305,120.41634827907677,1234.5881643828388,86.7260971069336,243.22129787423722,79.54000091552734,347.3321667517528,113.6353708842457,1215.899582365329,86.09919738769531,249.66424616229648,79.55000305175781,363.14848081899305,120.078705479148,1219.4687349455062,86.18800354003906,10488655.0,77109.0,13439614.0,30291583.0,13764861.0,0.0
2025-01-14,248.69781494140625,79.91999816894531,359.9659118652344,118.76565551757812,1228.143798828125,86.65059661865234,249.8943512439809,81.13999938964844,362.5698297651708,119.30025544546994,1242.6187691440975,86.85530090332031,244.83203473627594,79.86000061035156,350.9004667896131,115.09848934867122,1216.742262047884,86.44409942626953,245.84450365562202,80.91000366210938,352.0095320316425,115.36109883527466,1233.4479678208604,86.65059661865234,6710730.0,67129.0,3392260.0,17430438.0,13095266.0,0.0
2025-01-15,245.75242614746094,82.02999877929688,350.3218078613281,119.06578063964844,1241.478515625,86.535400390625,253.94416806790525,82.62999725341797,365.94525607534814,120.86653752273345,1246.2374660533972,86.59880065917969,244.1416892719626,79.62999725341797,347.766128156888,118.38112122056643,1231.2171573529768,86.10929870605469,252.10332592447858,80.31999969482422,364.0646454718551,120.29442093661189,1234.2905907014622,86.535400390625,13448052.0,69122.0,4162695.0,11472116.0,9578856.0,0.0
2025-01-16,245.660400390625,81.29000091552734,345.4515686035156,119.20646667480469,1255.6065673828125,86.43099975585938,247.54728060978445,82.55000305175781,352.5399564003651,120.3038093882865,1264.0834104275011,86.64219665527344,242.53097408475563,80.38999938964844,344.68002317952994,118.69062865927086,1240.586378973141,86.2520980834961,246.07460114554462,82.44000244140625,351.0451331280312,120.00367608468191,1248.1212833322295,86.43099975585938,13754046.0,69075.0,5072603.0,11843193.0,14117603.0,0.0
2025-01-17,251.82720947265625,80.79000091552734,346.1266174316406,120.1162338256836,1291.19921875,86.6061019897461,253.29988879721415,81.93000030517578,350.27359658470516,120.51014805526336,1314.6467509950228,86.66919708251953,245.98253008117388,80.55999755859375,342.55831938620014,118.45615547084171,1273.997794139219,86.0647964477539,247.4091714989826,81.30999755859375,345.59620389682215,119.11267918680798,1310.9288585996749,86.6061019897461,9300647.0,42284.0,3122954.0,24617689.0,29366277.0,0.0
2025-01-20,255.2327880859375,,347.5250244140625,122.39531707763672,1294.272705078125,86.56900024414062,256.24525702597026,,350.46646208371965,123.03307891030121,1304.7324245206253,86.57630157470703,247.4092078687245,,340.7741568417178,118.93448168427908,1289.1172758229052,86.14119720458984,253.11583055689024,,347.1874751491559,120.84779580456109,1304.7324245206253,86.56900024414062,9623368.0,,6963879.0,8234561.0,14040244.0,0.0
2025-01-21,257.90203857421875,79.29000091552734,356.78338623046875,122.93928527832031,1262.7945556640625,86.21109771728516,264.16089167087983,81.23999786376953,359.1461723759563,125.35905623266795,1301.7581181984158,86.61759948730469,256.0151582088679,78.47000122070312,345.258678350924,122.53598296369098,1259.324522599558,86.20230102539062,256.3833210811962,80.94000244140625,350.0807269312442,123.52077563167963,1299.2795231523412,86.21109771728516,15304149.0,83935.0,12344913.0,20272605.0,14562976.0,0.0
2025-01-22,255.5089111328125,79.0,356.92803955078125,122.41407012939453,1266.1654052734375,86.45189666748047,260.9853999991904,79.9000015258789,361.3643301029901,124.36489361760462,1271.9157939003728,86.59300231933594,252.24139927011052,78.80999755859375,350.27361843819233,120.46324664118445,1257.83730213362,86.28900146484375,259.5587584842658,79.30999755859375,360.496337818847,123.98972699805852,1267.3552034506358,86.45189666748047,6301894.0,40868.0,6676035.0,9202153.0,10273590.0,0.0
2025-01-23,249.6642303466797,78.29000091552734,349.2127685546875,121.76692199707031,1252.83056640625,86.47270202636719,262.3200208250828,79.58999633789062,360.49634471857485,122.57351235185118,1266.4132176584087,86.58799743652344,248.7898190416533,77.80000305175781,347.04284666569583,120.83840070027753,1250.7980702365203,86.36900329589844,260.4791785736787,78.91000366210938,359.7248287084019,122.30151475984668,1259.126173066555,86.47270202636719,18806324.0,46348.0,5143368.0,7058477.0,8720682.0,0.0
2025-01-24,242.80709838867188,78.5,340.2919921875,120.29441833496094,1235.6292724609375,86.44020080566406,257.1656745528712,78.95999908447266,366.4275027606621,124.50557241459224,1262.1006196074513,86.48629760742188,242.07077267318493,77.61000061035156,338.7489306739407,119.95678268780998,1232.8531975505623,86.1500015258789,252.19540575077062,77.87999725341797,360.8821466001634,122.8548822185836,1255.1605533566642,86.44020080566406,18480516.0,30464.0,18088473.0,12630632.0,14235970.0,0.0
2025-01-27,240.5060272216797,77.08000183105469,333.6375427246094,116.45843505859375,1218.82421875,86.2030029296875,242.7150603790733,78.98999786376953,338.41135301259004,120.02243936842288,1229.8291557820492,86.44400024414062,237.79080177333714,76.31999969482422,331.1300716541161,114.89215192922242,1209.5542981292017,86.18460083007812,242.7150603790733,78.55000305175781,337.92914816947393,120.02243936842288,1228.4907387555406,86.2030029296875,10083126.0,40623.0,4454025.0,18934026.0,9536019.0,0.0
2025-01-28,237.51466369628906,77.48999786376953,337.0611877441406,114.96717834472656,1223.8311767578125,86.46839904785156,242.89913297753742,78.13999938964844,339.2311095536523,118.03409204707918,1234.0925365684338,86.58699798583984,234.06309846936293,76.83000183105469,329.29770148713385,114.27313084727321,1208.0672872533735,86.4020004272461,241.38044371590942,77.06999969482422,337.5433925906988,116.45842805769094,1227.400329601704,86.46839904785156,13321189.0,29822.0,5097372.0,19861475.0,10568025.0,0.0
2025-01-29,241.22218322753906,76.58000183105469,332.96246337890625,115.96134948730469,1224.921630859375,86.58460235595703,242.11387201614954,77.69999694824219,339.7133315719616,116.6647708116723,1232.1095562529247,86.69529724121094,236.05984078492637,76.30000305175781,331.4676400515953,115.26730911748871,1217.53546627882,86.48799896240234,241.17526429931087,77.62999725341797,338.3631638196404,115.5392995549128,1225.4173498520336,86.58460235595703,9435973.0,19845.0,3747258.0,12017314.0,5928156.0,0.0
2025-01-30,241.3629608154297,76.87000274658203,339.0864562988281,119.22522735595703,1242.3214111328125,86.6406021118164,244.88273963923248,77.55000305175781,341.497480548064,120.51952001434653,1246.237542749693,86.65299987792969,240.75287154811053,75.98999786376953,333.68575609425,116.16768733491236,1221.8481926097397,86.54630279541016,243.94413195288507,76.86000061035156,336.5307764809277,116.67415154617044,1224.971246456504,86.6406021118164,9410974.0,8389.0,4412278.0,17776744.0,9269259.0,0.0
2025-01-31,245.07044982910156,76.76000213623047,345.4997863769531,120.51013946533203,1254.2681884765625,86.64700317382812,245.91519093940025,77.08000183105469,346.65708982755757,120.84778225392526,1256.1519448799122,86.71820068359375,238.64098204710882,76.51000213623047,336.9647543652312,118.31546133947603,1238.306060895825,86.54519653320312,242.0668940546722,77.0,338.50781582222066,119.22522067787605,1245.09738698474,86.64700317382812,8790578.0,50618.0,2019592.0,9686000.0,6584612.0,0.0
2025-02-01,239.95504760742188,,332.5766906738281,117.63080596923828,1253.7724609375,,245.96213102921902,,346.1266351757592,121.69189361611528,1259.6715896071485,,232.77470458589738,,321.24487670760055,116.87111320060858,1230.374548522757,,245.68056018289775,,345.49977475753417,120.84779372011428,1254.2681799336815,,11464565.0,,7985220.0,10535114.0,7118453.0,
2025-02-03,234.22955322265625,75.95999908447266,313.3367004394531,113.44779205322266,1235.232666015625,86.55400085449219,236.34142053704645,77.52999877929688,321.4377358986121,116.48657021694534,1245.2461659154887,87.32559967041016,227.33078093350827,75.04000091552734,307.35737805763364,112.64120168328826,1226.9541826685895,86.55400085449219,235.54359826724786,76.81999969482422,318.2551957140508,116.40216309141753,1240.2889757645512,86.55400085449219,21517136.0,75087.0,26282943.0,26047332.0,9252345.0,0.0
2025-02-04,240.2366485595703,76.19999694824219,321.82354736328125,116.73042297363281,1274.196044921875,86.94339752197266,240.8936711141814,76.66999816894531,322.9326126964378,116.9367610399698,1277.7653184740125,87.12419891357422,234.8396540462363,74.12999725341797,315.5066458023462,114.89214944124156,1235.9265630557768,86.93550109863281,235.262024665485,75.5199966430664,316.8086048592908,115.07972559850877,1237.3642207434832,86.94339752197266,7000612.0,62716.0,7377189.0,14405748.0,16691069.0,0.0
2025-02-05,245.21124267578125,74.61000061035156,330.6960754394531,118.57807922363281,1267.2559814453125,87.13009643554688,249.3411105078302,76.3499984741211,337.20584081988113,120.50075990871011,1279.4507170461238,87.47859954833984,244.27263504831413,74.55000305175781,327.9957400912622,117.66831982065948,1265.7688244708304,87.08599853515625,244.27263504831413,76.08000183105469,329.9245594632408,117.69645552911071,1271.6679530846961,87.13009643554688,10088345.0,30739.0,7113783.0,11469878.0,10112028.0,0.0
2025-02-06,246.4314422607422,74.29000091552734,330.88897705078125,118.19353485107422,1270.577392578125,87.33409881591797,250.79599101786755,75.38999938964844,336.72364401776804,120.25690832073012,1276.9721191435924,87.6718978881836,245.58670105240742,74.08999633789062,328.4779527782332,117.5370111572033,1259.4732145791813,87.33409881591797,246.8538271869266,74.5999984741211,336.1932304503869,120.09746787444313,1262.7945076095025,87.33409881591797,14058587.0,41460.0,3123836.0,9804040.0,9956001.0,0.0
2025-02-07,248.07400512695312,74.66000366210938,330.3103332519531,117.34005737304688,1255.8544921875,87.58830261230469,248.6371754791074,75.08999633789062,334.36086589944733,118.87820477560702,1272.7089385364054,87.84269714355469,244.0849223782418,74.19000244140625,327.46531276961207,116.7022884142606,1251.1947819010975,87.31759643554688,246.0090853610994,74.19999694824219,332.7213575822594,118.20291915388368,1265.2236540965398,87.58830261230469,6557480.0,35634.0,1712683.0,8892600.0,8764283.0,0.0
2025-02-10,243.94415283203125,75.87000274658203,326.2597961425781,115.52991485595703,1242.916259765625,87.51309967041016,249.48193292665212,76.06999969482422,331.7569433130779,118.7562761822709,1255.6562137259161,88.07129669189453,241.6914999207999,74.54000091552734,323.1254645560447,115.22978872017701,1234.8856362555493,87.40859985351562,248.30867321829874,74.54000091552734,330.7925335941445,117.23688359487556,1253.673337746878,87.51309967041016,8052376.0,27341.0,1957224.0,12773729.0,6970972.0,0.0
2025-02-11,239.48574829101562,77.0,318.25518798828125,112.98822784423828,1224.2772216796875,87.49009704589844,243.803349428371,77.2699966430664,326.25977639843796,116.05514178142505,1253.7230036544372,87.57170104980469,238.17170324330758,75.88999938964844,316.5674710822828,112.54741598673206,1219.567891058193,86.59259796142578,243.56869750399335,76.05000305175781,326.25977639843796,115.52992279660334,1253.7230036544372,87.49009704589844,6819100.0,37979.0,1562978.0,14532810.0,8859714.0,0.0
2025-02-12,239.9081268310547,75.18000030517578,312.4205322265625,112.94132232666016,1206.1339111328125,86.81120300292969,241.0344388516877,76.88999938964844,318.54451023992465,113.67287933452006,1216.3952699200001,87.0271987915039,233.76024371148813,74.94999694824219,307.3091431881408,109.99633238674787,1183.1324776076385,86.2886962890625,239.48574192079667,76.81999969482422,318.25519910422736,113.19455800204027,1209.0089844264594,86.81120300292969,6568833.0,47048.0,3179345.0,14799271.0,21131654.0,0.0
2025-02-13,240.04891967773438,75.0199966430664,308.7557678222656,112.62244415283203,1205.687744140625,86.8740005493164,244.13186890839117,75.33000183105469,321.91995469287656,114.42320100874724,1217.4858807075602,87.01129913330078,239.34496390155334,74.05000305175781,307.83959624164385,112.50051321153552,1201.622872489872,86.68409729003906,240.47130460105654,74.97000122070312,316.32639005593063,113.4853059185116,1206.629682868639,86.8740005493164,5514711.0,37759.0,9771116.0,10136689.0,8511216.0,0.0
2025-02-14,235.5905303955078,74.73999786376953,301.2333679199219,109.96820068359375,1206.827880859375,86.75409698486328,242.7239545745371,75.83000183105469,311.93832120039525,113.71040013613208,1213.5200872227356,86.88999938964844,232.2584702286979,74.48999786376953,293.56629922988685,108.79583180636995,1195.1288642881832,86.53810119628906,240.6590061971224,75.23999786376953,311.50432507399796,113.01635976437568,1208.56289732395,86.75409698486328,5205573.0,41397.0,9525190.0,12351973.0,10298145.0,0.0
2025-02-17,236.8107147216797,,306.7787170410156,111.09366607666016,1214.412353515625,86.43460083007812,237.98397429291074,,308.9968474742082,111.42193506940438,1216.9900679473901,86.90609741210938,231.2260020270231,,292.45722778268066,107.29519540839472,1194.1869953911457,86.63259887695312,235.59052190319613,,301.52267265041337,109.96819487618995,1200.7304615718228,86.43460083007812,5899597.0,,4591304.0,12518983.0,8166683.0,0.0
2025-02-18,237.23309326171875,75.83999633789062,308.5628967285156,111.6095199584961,1214.908203125,86.85479736328125,237.98398227690103,76.05000305175781,309.28620400689334,111.8439937399215,1219.3696743222742,86.97599792480469,231.69531362853084,74.19000244140625,301.2815858006441,109.08657978057563,1205.6877809072391,86.84500122070312,236.76378941748192,74.63999938964844,307.64669573665776,111.0936747771314,1214.362863790828,86.85479736328125,5534272.0,50542.0,1673581.0,8678689.0,6673250.0,0.0
2025-02-19,239.9081268310547,76.04000091552734,313.0473937988281,112.42548370361328,1216.9405517578125,86.88719940185547,240.70594908152367,76.81999969482422,314.78331948232574,112.70684792898469,1222.1952216847485,86.95230102539062,234.22954754776015,75.75,305.3803249285757,110.57782928583131,1207.125412159616,86.80169677734375,235.59052580854564,75.80000305175781,307.5984848924319,110.77478639026275,1209.0586678925579,86.88719940185547,6887175.0,30426.0,2325236.0,9158990.0,6217338.0,0.0
2025-02-20,242.72393798828125,76.4800033569336,319.89471435546875,115.16414642333984,1222.4429931640625,86.872802734375,243.7094645386827,77.13999938964844,320.3769192131457,115.31420592656764,1228.738599945727,86.91329956054688,237.6554482109992,75.70999908447266,309.81662105744095,111.59076818863886,1211.5371757067999,86.53060150146484,238.40633717674643,76.04000091552734,312.27585405901385,112.39735143518607,1213.4704313005311,86.872802734375,8155780.0,33347.0,1771611.0,9940851.0,7795582.0,0.0
2025-02-21,235.87210083007812,74.43000030517578,311.50433349609375,113.79481506347656,1217.634521484375,86.45120239257812,243.47481405748925,76.75,319.2196111059041,116.027002842402,1229.3830367840985,86.76300048828125,235.2619972759546,74.20999908447266,310.44347693845515,113.32586750991958,1211.6858938870325,86.44640350341797,242.16076910125005,76.55999755859375,319.2196111059041,114.4232030679057,1218.1797397323817,86.45120239257812,9845416.0,28100.0,2193356.0,9657933.0,6904025.0,0.0
2025-02-24,235.5905303955078,74.77999877929688,307.9360046386719,112.75375366210938,1204.1510009765625,86.52940368652344,237.93704962255472,74.91000366210938,313.9153565357415,113.77605591903163,1212.7764626626977,86.7510986328125,233.47866309116563,73.91000366210938,306.3447345240891,111.98467994180989,1200.1356289010387,86.50479888916016,235.8251823182125,73.91000366210938,309.479066040959,112.78188937111503,1206.1338768607443,86.52940368652344,6773845.0,17858.0,3307496.0,8764985.0,7172498.0,0.0
2025-02-25,233.19708251953125,73.0199966430664,298.8223571777344,111.28125762939453,1193.6912841796875,86.69010162353516,237.37388396166241,75.25,308.8522123643219,113.2133192904624,1210.5457292220917,87.25240325927734,232.49312673753104,72.69999694824219,298.34015231846143,111.04678384895146,1191.2126893205104,86.68199920654297,236.4352762523288,74.88999938964844,307.9360113591237,112.75375268435413,1200.6313497853835,86.69010162353516,4172676.0,19080.0,4356438.0,7607411.0,11552182.0,0.0
2025-02-26,,72.52999877929688,,,,87.0811996459961,,73.33999633789062,,,,87.18879699707031,,72.38999938964844,,,,87.03099822998047,,73.13999938964844,,,,87.0811996459961,,11916.0,,,,0.0
2025-02-27,229.72422790527344,74.04000091552734,296.0737609863281,109.18974304199219,1196.7647705078125,87.16220092773438,234.08874785474885,74.26000213623047,301.6673251542078,111.6095140556622,1204.597154814102,87.42639923095703,227.23692330129566,72.4800033569336,291.5410238826884,108.88023594954267,1190.370043898487,87.09480285644531,233.19707343004077,72.69000244140625,299.93139956595456,110.91547370290972,1202.416039651657,87.16220092773438,7376510.0,7925.0,4865436.0,10709253.0,11509215.0,0.0
2025-02-28,222.7316131591797,73.18000030517578,283.29534912109375,106.44171142578125,1189.82470703125,87.3270034790039,229.06721522192615,73.73999786376953,295.10936793550536,108.9927872074496,1206.9270123506615,87.54199981689453,221.65220569602002,72.97000122070312,282.0416282847968,105.90711151238543,1183.0830013175257,87.26480102539062,229.06721522192615,73.7300033569336,294.1449582363697,108.79583009783762,1191.7084634163882,87.3270034790039,14066882.0,36432.0,6517549.0,24161878.0,23007298.0,0.0
2025-03-03,227.52789306640625,71.62000274658203,287.2012023925781,107.44525909423828,1161.2216796875,87.46399688720703,228.68237651238536,73.66000366210938,288.2620589692026,108.18619707313539,1196.1202465389174,87.46399688720703,219.64357989465313,71.16999816894531,277.3160027780957,103.84374538754885,1146.1022512006402,87.24169921875,224.32723741330892,73.06999969482422,284.50086695339667,107.57656383423812,1193.6912720117396,87.46399688720703,6864635.0,51816.0,3792065.0,18881646.0,17944938.0,0.0
2025-03-04,234.5768280029297,71.04000091552734,303.98193359375,110.7091293334961,1151.9517822265625,87.32959747314453,235.5342118399029,71.45999908447266,305.13920751541934,111.09366257188984,1163.948157257321,87.3949966430664,221.6052774047952,69.75,279.7752454812189,104.95983542059378,1149.6219272411693,87.1229019165039,226.2044492753632,71.44999694824219,283.6328840830104,106.0759256317712,1152.2491409974891,87.32959747314453,7201075.0,58867.0,7276713.0,14145658.0,11377373.0,0.0
2025-03-05,240.13339233398438,69.30000305175781,314.5422058105469,114.65767669677734,1165.5345458984375,87.21700286865234,241.15647129738306,71.16000366210938,322.5950323856868,114.96718379906294,1172.8712116641736,87.33540344238281,234.558060262594,68.33999633789062,302.8728429978993,110.43714872020885,1147.0938223968292,86.82479858398438,234.558060262594,71.13999938964844,302.8728429978993,110.70913915958967,1151.0595745918054,87.21700286865234,7802519.0,51721.0,12406494.0,19577861.0,8664095.0,0.0
