Price,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,HPCL.NS,IOCL.NS,BPCL.NS,BZ=F,HPCL.NS,IOCL.NS,RELIANCE.NS,USDINR=X,BPCL.NS,BZ=F,HPCL.NS,IOCL.NS,RELIANCE.NS,USDINR=X,BPCL.NS,BZ=F,HPCL.NS,IOCL.NS,RELIANCE.NS,USDINR=X,BPCL.NS,BZ=F,HPCL.NS,IOCL.NS,RELIANCE.NS,USDINR=X,BPCL.NS,BZ=F,HPCL.NS,IOCL.NS,RELIANCE.NS,USDINR=X
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,,,271.8003234863281,,,,1210.7935791015625,,272.35258173140346,,,,1215.800389087432,,267.19821825906877,,,,1201.2261788160188,,269.0390603499725,,,,1204.4483521073844,,3545200.0,,,,5892590.0,
2025-01-02,,,273.2730407714844,75.93000030517578,,,1231.167724609375,85.78569793701172,274.00939456363784,76.54000091552734,,,1233.7949384205442,86.03399658203125,268.57888716922207,74.7300033569336,,,1209.554328364606,85.5739974975586,271.8003612762026,74.87999725341797,,,1210.7936258321927,85.78569793701172,6846413.0,41474.0,,,15486276.0,0.0
2025-01-03,,,272.8128356933594,76.51000213623047,,,1240.4376220703125,85.80400085449219,275.34399397138134,76.73999786376953,,,1251.2443199889096,86.07230377197266,270.9259834853533,75.52999877929688,,,1224.9215938636924,85.706298828125,272.4446728343613,75.9000015258789,,,1233.2496968938563,85.80400085449219,4806469.0,38822.0,,,15521102.0,0.0
2025-01-06,,,262.18194580078125,76.30000305175781,,,1207.571533203125,85.75900268554688,273.59516138104226,77.5,,,1251.1948069805778,85.84100341796875,261.49163000251116,75.94000244140625,,,1204.597219081935,85.58429718017578,272.81279785853184,76.58999633789062,,,1243.2136823453243,85.75900268554688,7361716.0,49229.0,,,14816766.0,0.0
2025-01-07,,,260.2950744628906,77.05000305175781,,,1230.2257080078125,85.68070220947266,267.38232813088456,77.2699966430664,,,1233.8444805890147,85.7938003540039,258.36221263436744,75.91999816894531,,,1210.7935491517349,84.9395980834961,264.2529020252984,76.23999786376953,,,1211.5371275851955,85.68070220947266,8306436.0,37188.0,,,10070505.0,0.0
2025-01-08,,,263.9767761230469,76.16000366210938,,,1254.664794921875,85.80650329589844,264.9892450117532,77.88999938964844,,,1260.167324257905,85.98560333251953,258.1781340798577,76.02999877929688,,,1234.6872949225542,85.70600128173828,260.29509150158725,77.23999786376953,,,1238.3060678446636,85.80650329589844,6037032.0,46650.0,,,19346579.0,0.0
2025-01-09,,,257.7179260253906,76.91999816894531,,,1244.0068359375,85.90750122070312,264.9432377835503,77.2699966430664,,,1258.878406002503,86.18499755859375,256.84351468362314,75.69999694824219,,,1237.3642497185242,85.82530212402344,264.1608741760254,76.16000366210938,,,1256.1519514905858,85.90750122070312,6215902.0,31706.0,,,12794704.0,0.0
2025-01-10,,,255.55491638183594,79.76000213623047,,,1231.266845703125,85.91999816894531,260.9393855101679,80.76000213623047,,,1245.9896754309787,86.16079711914062,253.6680643359784,77.04000091552734,,,1225.4173374439545,85.84110260009766,258.1781221714359,77.20999908447266,,,1243.114481097643,85.91999816894531,9073218.0,92049.0,,,8120332.0,0.0
2025-01-13,,,244.1876983642578,81.01000213623047,,,1229.234375,86.18800354003906,252.83967888386863,81.66999816894531,,,1234.5881643828388,86.7260971069336,243.22126747743965,79.54000091552734,,,1215.899582365329,86.09919738769531,249.66421496028573,79.55000305175781,,,1219.4687349455062,86.18800354003906,10488655.0,77109.0,,,13764861.0,0.0
2025-01-14,,,248.69776916503906,79.91999816894531,,,1228.143798828125,86.65059661865234,249.8943052473742,81.13999938964844,,,1242.6187691440975,86.85530090332031,244.83198967146055,79.86000061035156,,,1216.742262047884,86.44409942626953,245.84445840444732,80.91000366210938,,,1233.4479678208604,86.65059661865234,6710730.0,67129.0,,,13095266.0,0.0
2025-01-15,,,245.75242614746094,82.02999877929688,,,1241.478515625,86.535400390625,253.94416806790525,82.62999725341797,,,1246.2374660533972,86.59880065917969,244.1416892719626,79.62999725341797,,,1231.2171573529768,86.10929870605469,252.10332592447858,80.31999969482422,,,1234.2905907014622,86.535400390625,13448052.0,69122.0,,,9578856.0,0.0
2025-01-16,,,245.660400390625,81.29000091552734,,,1255.6065673828125,86.43099975585938,247.54728060978445,82.55000305175781,,,1264.0834104275011,86.64219665527344,242.53097408475563,80.38999938964844,,,1240.586378973141,86.2520980834961,246.07460114554462,82.44000244140625,,,1248.1212833322295,86.43099975585938,13754046.0,69075.0,,,14117603.0,0.0
2025-01-17,,,251.82723999023438,80.79000091552734,,,1291.19921875,86.6061019897461,253.2999194932583,81.93000030517578,,,1314.6467509950228,86.66919708251953,245.9825598904669,80.55999755859375,,,1273.997794139219,86.0647964477539,247.4092014811626,81.30999755859375,,,1310.9288585996749,86.6061019897461,9300647.0,42284.0,,,29366277.0,0.0
2025-01-20,,,255.23275756835938,,,,1294.272705078125,86.56900024414062,256.2452263873336,,,,1304.7324245206253,86.57630157470703,247.4091782865933,,,,1289.1172758229052,86.14119720458984,253.1158002924317,,,,1304.7324245206253,86.56900024414062,9623368.0,,,,14040244.0,0.0
2025-01-21,,,257.9020080566406,79.29000091552734,,,1262.7945556640625,86.21109771728516,264.16086041269085,81.23999786376953,,,1301.7581181984158,86.61759948730469,256.0151279145646,78.47000122070312,,,1259.324522599558,86.20230102539062,256.38329074332813,80.94000244140625,,,1299.2795231523412,86.21109771728516,15304149.0,83935.0,,,14562976.0,0.0
